label	text
spam	Tu Telcel tiene 5GB gratis. Activa marcando *2025# o entra a http://telcel-promo.mx
spam	ALERTA: malware detectado en tu PC. Limpia gratis con http://antivirus-free.dl
spam	Casino Royal: bono de bienvenida $500 sin deposito. Juega ya http://casino-royal.bet
spam	Reclama tu reembolso de Hacienda de 432 EUR antes del viernes http://agencia-tributaria.es-info.com
spam	Mercado Pago: tu cuenta sera limitada. Verifica en http://mercado-pago-verifica.cc
spam	Trabaja desde tu celular ganando 500 USD diarios. Info al WhatsApp +1 305 555 0199
spam	Solo por hoy: iPhone 14 Pro a 199 EUR. Stock limitado http://apple-ofertas-eu.shop
spam	Tu DNI electronico expiro. Renueva en linea: http://dni-renovar.gob-info.es
spam	Has sido elegido para participar en estudio remunerado. 200 EUR por encuesta. http://encuestas-pagadas.cc
ham	Hola, como estas? Te paso a buscar a las 7 de la noche para ir al cine?
ham	Recordatorio: junta de equipo manana a las 10am en la sala 3
ham	Mama dice que llegues temprano porque tenemos cena familiar
ham	Te mando el documento revisado, dime si necesitas cambios antes del viernes
ham	Gracias por la ayuda con el codigo, ya logre que compile
ham	Hoy salgo tarde de la oficina, no me esperen para cenar
ham	Pasame la receta del flan que hiciste el domingo, estaba delicioso
ham	Confirmo asistencia a la reunion del jueves, llevo el reporte impreso
ham	El nino tiene fiebre, voy a llevarlo al medico esta tarde
ham	Quedamos en el bar de siempre a las 9? Avisame si cambias de plan
ham	Buenos dias, le envio el presupuesto para la remodelacion segun lo que platicamos
ham	Acabo de llegar a la oficina, en 10 minutos te marco para revisar el contrato
ham	Feliz cumpleanos hermanito, que cumplas muchos mas. Un abrazo enorme
ham	El profesor cambio la fecha del examen para el martes 15
ham	Estoy en el supermercado, quieres que te lleve algo?
ham	El partido empieza a las 8, vienes a verlo a la casa?
ham	Ya envie el correo al cliente con la cotizacion actualizada
ham	Pase por farmacia, las pastillas que pediste no las tenian
ham	El vuelo aterriza a las 6:45am, tomo un Uber al hotel
ham	Que tal el viaje? Manda fotos cuando puedas
ham	Necesito que me cubras la guardia del sabado, te debo una
ham	Encontre el libro que querias en la biblioteca, te lo presto el lunes
ham	El plomero viene manana entre 9 y 11, puedes recibirlo?
ham	Adjunto las minutas de la reunion del miercoles para tu revision
ham	Nos juntamos en mi casa para estudiar el examen de calculo?
ham	Ya pague la luz, te paso comprobante por whatsapp
ham	El doctor dijo que esta todo bien, solo descanso por una semana
ham	Me encanto la pelicula, gracias por recomendarmela
ham	Voy a estar fuera de la oficina del 5 al 12, cualquier urgencia escribe a Carlos
ham	Acuerdate de comprar pan cuando regreses, ya casi no queda
ham	Profe, podriamos revisar la tarea 4 en la asesoria de manana?
ham	El tren va con 20 minutos de retraso, llegare un poco tarde
ham	Ya esta listo el reporte trimestral, lo subi al drive compartido
ham	Tu paquete llego a la oficina, lo dejo en tu escritorio
ham	Felicidades por el ascenso, te lo merecias muchisimo
ham	Tenemos la mesa reservada para las 8:30 a nombre de Lopez
ham	El abuelo pregunto por ti, llamale cuando puedas
ham	Guardame un pedazo de pastel que voy a llegar tarde
ham	El servidor estuvo caido pero ya esta funcionando otra vez
ham	Ya termine el primer capitulo de la tesis, me dices que opinas
ham	Si quieres puedo pasar por ti a la salida del trabajo
ham	Compre los boletos para el concierto, son fila 12 centro
ham	Hola tia, gracias por el regalo, los chicos estan felices
ham	El plomero arreglo la fuga, cobro 800 pesos
ham	Cuando podemos agendar la presentacion con el cliente?
ham	Ya me dieron los resultados del laboratorio, todo en rangos normales
ham	Acuerdate que el lunes es feriado, la oficina cierra
ham	Te dejo las llaves debajo de la maceta como siempre
ham	Voy saliendo de casa, en 30 min llego al restaurante
ham	Me presto el coche tu hermano para llevar las cosas
